,Reviews
424,"[Another Tim Burton film starring Johnny Depp - totally did not see that coming! After 7 films together, their films now, are more a celebration of their eccentric partnership than anything else. Dark Shadows is a primary example of this fact. Obviously, Depp plays his part with absolute charm, (he's like the male Meryl Streep, incapable of doing anything bad, but I digress.) Dark Shadows however, is like a well-dressed girl who has nowhere to go. It's a grand production, with an elaborate set design and costumes, but lacks substance.Based on the popular American soap opera from the early 70s, Dark Shadows surrounds vampire Barnabass Collins (Depp) who is resurrected from his coffin at 1972 after 200 years. He finds that the glorious empire is ruined, and his fisheries business is falling. To top it all, the ruthless witch who turned him into a vampire, Angelique (Eva Green) is now ruling their coastal town. The film tracks how he saves his hometown, by teaming up with the Collins' family matriarch (Michelle Pfieffer).The basic premise of the film has scope - here is a vampire from 200 years ago who still believes the world starts and ends with him. He's dated, and the humor stems from that fact that he doesn't fit. Dark Shadows does have its moments, mainly because we all know Johnny Depp has his way with wit. You will find yourself laughing, but it's also a token humor that you know is forceful. You realize that you keep expecting the film to get funnier - but it doesn't.The performances do manage to give you 140 minutes of entertainment, if you ignore the follies. Eva Green as the drop-dead gorgeous Angelique is the show stopper of the film. She's sharp, funny (yes the funniest part of the film for sure) and stunning. Like most Tim Burton films, the setting and mood is applaud-able. Sets, costumes and dialogues all transport you to an eccentric alternate world that governs most Burton films. You also find that the soundtrack is dominating by rock classics of the 70s. Ofcourse, the central factor here is that Dark Shadows is all about Johnny Depp - his extravagant hairdos and frills, his experiments and his charm parade where he tries to knock you off with his humor. Usually, it's the arrogance that works, but in this case it does seem laborious because it doesn't have a story to fall back on. If you're a fan of the Burton-Depp franchise, you might either be extremely disappointed having expected to be blown away or you might just settle for a complacent effort on their part. Dark Shadows could have been a humorous, engaging film as it's made with all the right decisions in casting and setting. As it is though, the film falls short of its expectations - like a half-baked attempt that you might enjoy only if you worship Johnny Depp. ]"
425,"[No matter how much you claim to love the movies, there will always be one man who can rightfully claim to love them more. His name is Martin Scorsese. That Scorsese's knowledge and understanding of film history, film theory and film grammar is virtually unmatched is a fact well known. So if there was anyone who one could bet on, to understand exactly when and how to use the oft-abused 3D technology to get the best out of it, it would have to be Martin Scorsese. So what does Scorsese do when he uses 3D for the first time ever? He makes a thrillingly visual ode to that which he loves the most - the movies. Hugo is a film that you shouldn't miss in the theatre even if you don't like cinema. And if you love the movies the way some of us do, Hugo is an experience that won't exit your system in a hurry. Based on the book 'The Invention of Hugo Cabret' by Brian Selznick, Hugo tells the tale of an orphan who lives within the recesses of a Paris train station - his home amidst the chains and sprockets that run the clock at the train station provides him with an enviable view of the Eiffel Tower looming large over one of the world's great cities. One of Hugo's most prized possessions is a mechanical humanoid, something his deceased father found years ago in a forgotten corner of a museum. And Hugo's aim is to complete his father's dream of making the mechanical bot work once again. In his quest, he encounters a shopkeeper at the train station, a man whose story is inexorably tied with Hugo's. Shot lovingly in glorious 3D, Hugo is arguably the first film that beautifully meshes the third dimension with the grammar of cinema to create a compelling theatrical experience. Not to mention the fact that proponents of digital over film will be thrilled with the results that the Arri Alexa has produced. Even the Academy Award for Cinematography doesn't do justice to just how good Hugo is visually - the breathtaking opening shot alone justifies the use of 3D. The atmosphere that the film creates with the post-World War I Parisian setting is nothing short of incredible. The fact that a large portion of it is multiple Award-winning VFX rarely crosses your mind. Interestingly, not too deep from the surface of the thrill-ride that the story and the characters take you on, lies the characters' quest for answers to the ultimate existential dilemma - what is one's purpose? What helps immensely is the fact that the entire cast does complete justice to their parts. With his piercing blue eyes, Asa Butterfield as Hugo will charm you. But it is Ben Kingsley playing the old 'shopkeeper' whose performance will leave you with a lump in your throat. Also, Sacha Baron Cohen as the over-enthusiastic Station Master out for Hugo's throat is plain adorable. But nothing beats the ultimate treat that this film offers - its tribute to cinema. Hugo is the kind of film that will show you just how much you love the movies - the intensity of the shivers up your spine will be directly proportional to how much cinema means to you. This, the most un-Scorsese like picture ever, actually feels much closer to Scorsese's heart than most of his other jaw-dropping work.The tragedy then is that Hugo has been released in India over four months since it was released abroad. And this afterthought release itself is nothing short of embarrassing - no multiplex has more than a show a day for 'A Martin Scorsese Picture.' One can only hope that the audience throngs these limited shows to show corporates how to treat a master's work.]"
426,"[In absolute terms Jumbo, the baby elephant will keep kids good company. But relatively speaking it doesn't have the zing of The Lion King or the wit and sensitivity of Finding Nemo, two movies the plot seems to have tried to combine.On the look for his missing father, Jumbo loses his way and is torn apart from his mother too. What more can a child identify with? Separation from parents - the biggest fear and the most traumatic nightmare imaginable. Going ahead too, the plot is not treated with kid gloves. It stays pretty close to dark. That makes it a kids' movie that respects the target audience's intelligence even if the subtlety is not noticed by them.And yet they need the fun and energy, which I think is missing. That kids might not miss it at all, is a completely different matter. The story doesn't have anything new, but then kids love repetition. And hey, it is, in fact better than the alternatives produced in recent times. So, it all depends on what you are comparing it too. There are enough on either side of the scale and Jumbo stands pretty much in the middle. Same goes for the animation, it wasn't entirely appealing. Elephants with long legs, wide eyes, and out of proportion trunks were not pleasing to watch, even if it was only for 90 minutes. Same goes for other animals sketched out. I liked the concept of elephants in multiple colors though. A comment on how the species stays united despite the variation in skin color?In my mind voices of characters are done well, if I have to try hard to recognize the voice - it seems familiar but I cant spot it because of the modulation. So, when a Gulshan Grover does a Gulshan Grover and Rajpal Yadav and Asrani too play themselves, I find it mundane if not annoying. On the other hand despite the tremendous publicity Akshay Kumar and Dimple Kapadia got, they sounded like supposedly-cute elephants would if they could speak. Their inflections sounded convincing.On the Hindi animation scene for kids, there isn't much happening - especially non-mythological. In that sense, it is good to have Jumbo dubbed with the right amount of star value. But otherwise, there isn't anything remarkably different about the story or the animation.]"
427,"[Jason Statham's name appears on the screen and you immediately know what you can expect from the film. Former star of films like Lock, Stock and Two smoking Barrels, Snatch and the Transporter series, Statham has stayed true to the action genre - never really deviating from his comfort zone. Safe however, is an action overdose. It's a case of dumbing down of the basic story, too many unnecessary stylistic elements, a large celebration of Statham and nothing more. In Safe, Statham plays ex-cop Luke Wright who worked for the NYPD and exclusively with the mayor (Chris Sarandon). Fed up with the rising corruption, he decides to quit and get involved in the city's underground rigged fights culture. You are shown that it gives him a vent for his frustration, over visuals of repeated action, minute after minute.The conflict arises when the Russian Mafia gets involved and kills his entire family over a dispute. He decides to seek revenge when he witnesses the same men torturing an 11-year old Chinese girl, Mei. The film is as much about their growing relationship, as Statham plays her protector.However, Safe doesn't hold for long enough to establish any emotional connection. We are told nothing about Statham's wife, and so through the film we have no motive to empathize with any conversation. The action, as a result, isn't soaked in cold-blooded revenge either, and therefore it makes for a stale viewing.Mei's character is written well, and fortunately also has a graph. We learn that apart from her helpless situation, she is also a whiz kid who learns faster than she speaks. The pace of the film becomes a problem; mostly because director Boaz Yakin has decided to depend on fast cuts to establish most of the film. You aren't given enough time to grasp anything - and before you know it, someone is beating up another person.The first few minutes of Safe seemed interesting. The visual texture of the film was gritty and I was expecting a nail-bitter. Statham takes no time to overpower every other aspect in the film (he also looks uncannily like Bruce Willis, so his bar is pretty high) and you are left, wanting to see other parts of the film. A back-story of Statham's relationship with his wife or maybe the terror and hold of the Russian Mafia in the New York crime underbelly could have been a lot more insightful for us to base the film upon. The number of could-haves brings down your viewing experience of Safe. Watch it only if you're a die-hard fan of Jason Statham. ]"
428,"[What is it that makes Vishesh Films name its films to make them sound like sequels? Murder 2 earlier and now Jannat 2 have nothing to do with the films with the same names but for the number attached at the end. Is it that the producers are trying to bank on the success of the earlier films to get in the initial crowd? Is it lack of creativity? Is it pure laziness? Or is it mere disinterest? The same disinterest that shows through the film by the actors and the director.Of the entire team, only the writer seems to show interest right through the end of his assignment. Sonu Dilli (Emraan Hashmi), a small-time gun-dealer finds himself stuck between a cop (Randeep Hooda) who forces Sonu to turn into an informer; his willingness to live an honest living for the love of his life (Esha Gupta); and the bigger-time dons of the underworld (Manish Choudhary). A dilemma that could've been so much more engaging but for some awful performances and a tedious screenplay. Similarly, the dialogues are some of the most inane ones. The kind that actors should have objection to saying out loud, however inept they might be at their work. No, I'm not referring to perfunctorily used profanity Except for Emraan Hashmi, the rest of the cast is rather monotonous, each one seems to take to one expression and hold to it. This fact is more so evident in the cases of Randeep Hooda, Esha Gupta and Manish Choudhary. Anyway, as usual, the lead lady is made irrelevant in a crime saga. Despite all of this, I'd consider the climax one of the bravest ones in recent times. It is surprisingly unexpected for an otherwise predictable story. It is also an interesting one in terms of what it means to the various characters, even if they aren't written with too much depth. Yet, it can't take away from the fact that it is 'too little, and a little too late'. Jannat 2 is another one of those standard crime romances to come out of the Bhatt stable -  only less engaging than the average Vishesh Films' product.]"
429,"[""A film should be like a pebble in your shoe."" - Lars Von Trier Love stories come in all shapes and sizes. Some, like that of our very own Raj and Simran, make you root for the protagonists, they make you want the two to end up together. Then there are some, like my personal favourite, Casablanca, which make you feel like there is no love like one which is unrequited. And then, there is Mahesh Manjrekar's Kaksparsh, a complex love story unlike any other. Set across a time span of a few decades, the film starts off in pre-independence India, where Hari, a man of strict principles, is planning the wedding of his brother Mahadev, with the help of his close friend Balwant. Mahadev marries a teenaged girl, who hasn't even reached puberty yet. Tragedy strikes barely a few months later, as young Mahadev dies the very night they were to finally consummate their wedding. Then starts the journey of a complex, near-exasperating story - a love story. Kaksparsh can make some people uncomfortable, test the patience of some, perhaps even make a select few walk out. It poses questions for most of the narrative and resolves them at the end, only to pose new, larger and more difficult questions as it fades out. The most important of them - what, really, is love? Mahesh Manjrekar deserves appreciation, first for choosing this story to tell and then for the manner in which he has told it. The look, feel and mood that the film creates is first rate, even if the production design had a lot of scope to enhance the feel. One of Kaksparsh's triumphs is the cast of the film. Sachin Khedekar anchors the film with a solid performance. Playing a stubborn man with strong opinions and principles is far harder than it sounds. For such a character to achieve any level of credibility is a task, and he more than delivers. Ketki Mategaonkar and Priya Bapat who play the young widow Uma in different stages of her life are extremely likeable and believable. Sanjay Khapre as Balwant is extremely competent as well. His face radiates the sense of stability that his character is meant to emanate.Kaksparsh holds your attention because of little details and moments. The customs and rituals of a Brahmin family in pre-independence India, little things like the language the older brother uses in a letter to his younger brother, even the historical connection that has been made with the character of Balwant, all these moments lend a texture to the film. Even more intriguing are the scenes involving the life of a young widow in the backward Indian milieu - especially a widow who has been bereaved even before the marriage is consummated. Love isn't just about a man and woman having romantic feelings for each other. It is about how much you are willing to give up and how far you are willing to go for the person you claim to love. Kaksparsh deserves to be watched because the makers of the film dared to do something that few people do - tell a story that needed to be told, even if a majority of the audience will not identify with the characters and their motivations. It re-establishes Mahesh Manjrekar as a director with promise. Most importantly, it opens another trove of questions regarding what makes mankind unique as a race - the concept of love.]"
430,"[""Do appearances matter?"" Should they? This is the question Rajat Kapoor and Co try to answer with Fatso! Only that it would look too plain as is, and thus is masked with an interesting philosophical ""what if?"" What if you died by mistake? And the death-givers wanted to rectify their error in a controversial manner. It sound funny, but unfortunately Fatso isn't funny and neither does it take the philosophical inferences too seriously. So, it's neither entertaining nor engaging. It just stays something that could be.Yet, the performances work big time for Fatso. Be it Ranvir Shorey in the title role or the always affable Gul Panag or the charming Purab Kohli. They are the ones that make you sit through. They and the hope that it will all end with a smile on your face. Instead mid-way a fear starts creeping in that a film that banks on the emotional ties in the relationships is going to end up like any other romantic film - one in which people fall in love for the sake of convenience rather than growing into it organically. There are quite a few issues touched upon, but none of them are delved into more than superficially. From insensitivity of people to an obese person to a friend falling in love with his friend's girlfriend while having a girlfriend of his own - are all cursorily touched upon but not taken too seriously - almost as if the writer/director was scared of making his film too serious. Why have the person be fat and have a title and promo material revolve around the fact, if it isn't even central to the main story? Unfortunately, it isn't un-serious either. It hangs somewhere in between. Same goes for how the characters are written. They are all interesting more because you can relate to them, as friends if not yourself. But, you aren't exposed to their vulnerabilities or strengths. You are kept guessing and thus find yourself half-way there. Even so, there is something very pleasant about how the camera moves or how the lights are used in a Rajat Kapoor film that make it watchable despite content that isn't quite there. That and an attempt at a topic a little different, even if it's ripped off from here and there, is what makes me look forward to films from this camp of Hindi films. The exuberant display of what Fatso! loves life for is symbolic of the film itself. Starts off delightfully, but sticks to the idea for so long without coming to the point that you can predict the point and exactly how it's going to happen too. ]"
431,"[Juno is one of those films that make you forget that you're watching a film. I detest labels, but Juno is an indie film at its best - with subtle characterization, an endearingly refreshing soundtrack and a film with a basic agenda to just tell a story. And it's no wonder that Juno won the Academy Award for the Best Original Screenplay in 2007. After watching Juno, you won't be left with an over-powering cinematic feeling. You'll be left feeling like the character Juno in the film yourself, in a simplistically relatable way.Juno is about a 16 year old quirky girl (played by the remarkable Ellen Page) who is wiser beyond her age. She decides that her sexual curiosity has reached its peak and in order to satiate her, um, ""questions"" she chooses her best friend Paulie Bleeker (Michael Cera). Unfortunately, she finds she is pregnant, and this film begins here. There's no over-dramatic love-making scene - what you remember from the 30 second glimpse of the two making love is that Bleeker's mouth tasted of Orange Tic-Tac - and it's what Juno remembers most as well.The film is broken into the 4 seasons, corresponding to Juno's trimesters. Juno decides she wants to give her child to deserving parents - the candidates are played by Mark and Vanessa Loring (Jason Bateman and Jennifer Gardner). Each character is almost pitch perfect, be it the adoptive couple, or Juno's sassy parents played by J K Simmons and Allison Janney. You can really see where Juno gets her quirkiness.  Juno is an extremely engaging film for many reasons - driven by a pure story, characters that make you want to rejoice and a childlike visual texture that just brightens the screen. But mostly, Juno's strongpoint is its simplicity. What's obvious is how the film doesn't make the whole abortion debate a bag of drama, and deals with it as Juno's experience. But beyond that you realize just how toned down it all is - every relationship that is determined by minute observations and every scene that expresses itself through dialogue that makes you feel like an inquisitive eaves-dropper. The DVD of Juno has some interesting features: a crackling audio commentary by director Jason Riteman and writer Diablo Cody. The commentary is funny, insightful and talks at length about their interpretation of Juno's character. Even here, the discussion isn't pointed towards the social debate about abortion, or pro-choice. The gag reel is hilarious, filled with profanity and each actor pulling the other's leg. It's the kind of humour you can see translate into the grammar of the film.There are 11 deleted scenes, and each one make you wish they were included in the film. I even tried it out where I would put it, and how it would then flow. When was the last time you remember doing that with deleted scenes? I would suggest every one of you to first buy the DVD, but also get hold of the entire extended soundtrack of the film, which unfortunately is not there on the DVD. Each song is so emblematic of the film; one quirkier than the other. And yet they merely breeze through in the film, almost like a wasp of cool air when you pass by an air-conditioner. But if you had to point to one thing in the film that stands out among the rest, it would be Ellen Page's performance. All of 20, she plays an eccentric girl full of back-slapped one liners and a bag of repartee, but even so, you just want to hug her. You can't miss Juno!]"
432,"[Tezz makes your brain go numb - with loud action sequences that accompany shoddy VFX, with its inane dialogue, with content that is mind-bogglingly dim-witted. An illegal immigrant gets so offended for being thrown out of UK that he comes back to threaten, takes along other illegal immigrants  to blow a couple of trains off and make demands of the government!? And the hope is that the his backstory is going to make the audience see the justification behind the actions of this ""anti-hero""?! Even if a part of the audience, like me, thinks of Aakash Rana (Ajay Devgan) more as a villain than an anti-hero, he's not loathsome enough to make Tezz watchable. And it is a huge disappointment in that villains who aren't absolutely nasty have such potential to make interesting characters. But here, Aakash seems as misguided as the writers, assuming there were writers involved in this project.Yep! Beginning to complain about the plot holes implies that there was a coherent plot. All I know is, if I start filling in the 'didn't work' section of the notepad in the opening sequence of a film, the next two hours are pretty much written off. While the film is more or less one chase sequence after the other - some of them well-choreographed, others interrupted by childish graphics and special effects - you wish text on screen said 'The End' when it reads 'Interval'. None of the main characters have roles that require too much emoting or even speaking - the latter is a good thing. Especially, when the potential speakers are the likes of Kangna Ranaut who made me cringe at her diction even for the two lines that she had. Actually both, she and Sameera Reddy, can barely be called ""lead"" characters. Of the lot, in fact Boman Irani followed by Anil Kapoor get some screen space that allows for at least some expressions. But, then they have such awful lines, that you wish they hadn't taken this film in the first place. Then you have the songs that are as out of place even if someone somewhere tried to justify it with some convoluted reason. Mallika Sherawat's 'laila' must be one of the worst choreographed and picturised item numbers of recent times. Tezz gives a weird sense of disappointment - the kind that you get even when you weren't expecting anything half-decent to begin with.]"
433,"[No doubt there is something very charming about a story line that starts with different threads and merges into one coherent story by the end. Life Ki Toh Lag Gayi kills that romanticized idea. It is indeed painful to write a review when you have only bad things to say about it. Except for the one quirky character Ajay Ghosh, Life Ki Toh Lag Gayi has nothing going for it. And this is despite having a cast that consists Kay Kay Menon and Ranvir Shorey!They do try their best, but what can they do with the little their individual threads do to contribute to the film. Individually a couple of their scenes work really well, but that's about it. But even that much cannot be said about Manu Rishi and Neha Bhasin's thread unless you call a hearty laugh at the writers, for calling Shakti Kapoor 'innocent looking', entertainment. Yes, it gets that crass at times. At others it alternates between plain silly and boring. It's difficult for me to get angry or hate something that a small budget film with a new director has tried to do. Life ki toh lag gayi only made me indifferent towards, which as is said, is worse than evoking hatred. ]"
434,"[You know the kind of cook shows that make you want to regret you had some mix veg nothing-ness for dinner? The kind that makes you forget you couldn't pronounce the French dish that is being cooked because it looks divine? When I first heard of Julie &amp; Julia, I thought the movie would make me feel just that - a nagging concern about where my life is going and why I'm not a successfully chef. Or at least a salivating regret on why I didn't have something more creative for dinner. The film is based on the lives of two women - an autobiographical texts by Julie Powell (played by Amy Adams), a hum-drum government employee who takes on the challenge to cook 524 recipes from Julia Child's book 'Mastering the Art of French Cooking' and Julia Child's life from her first cooking class to publishing her book. Both women in their own way admit that food saved their lives. The film draws parallels between the 1950s, when Julia Child (famous American chef, played by Meryl Streep) first started taking cooking lessons in Paris, and the early 2000s when Julie Powell's life changed with her super taxing challenge. We are made to see the similarities with both their lives even though they belong to different time zones and social brackets. Julia Child moved to Paris with her husband, Paul Child (played by Stanley Tucci) a plush government employee who is supportive of her zest to do something with her life - and not just play a domestic companion to him. Quite similar to Child, Powell decides her boring government job is pulling her down, especially since her friends have all climbed the ladder to success. She lives with her husband, nonchalant yet supportive Eric Powell (Chris Messina) above a pizzeria in Queens, New York. Her one year challenge, as you witness through the film, lifts up her life to extremes. She writes a blog about her daily accomplishments, and it becomes hugely popular. The cooking, however, is taxing. You are made aware of the pressure mostly because the film keeps cutting back to Julia Child's inspirational story of how she became a successful chef. The parallel narratives work well with these two stories, as they stand similar and contradictory in many ways. Both women fight with vastly different demons: Julie with her financial situation and job coming in the way of her aspirations, and Julia with the social mindset against women in Europe in the early 1900s. Women cooked at home, and we see Julia Child breaking that stereotype by standing in a room full of men, and a skeptical tutor, and making her own. Yet both women are searching for the same thing: a validation of their talent. Meryl Streep as Julia Child is a delight, but of course. You immediately choose your side, when you decide her side of the story is a tad bit more interesting than Julie Powell's. Amy Adams though, makes Powell's character a lot more endearing and relatable. Both husbands are shown to be extremely supportive of their wives career, but somewhere down the line, the characters get boring. I would have preferred more refined characters, especially since Nora Ephron (writer and director) decides to delve deep into the personal lives of both women. The DVD of Julia &amp; Julia has a bunch of really exciting extras. First up is a featurette titled ""Secret Ingredients: Creating Julie &amp; Julia"", in which we get to hear bits of the real Julie Powell and Julia Child's niece. We also get an overview of the production, and might I say, you can never get enough of Meryl Streep on screen! She's such a charm; you just want to keep watching her perform. A part of me wishes the film focused on making the viewer drool over the food in the film. Most food related shows/movies/books end up making you feel either hungry or inspire you to cook. I felt neither during Julie &amp; Julia, maybe because the focus was on the womens' trajectory and less on what was being cooked. While the performances are the main straw in Julie &amp; Julia, the film surprisingly doesn't make you want to cook or eat. It makes you want to sit back and ponder on the women and their achievements. That's a real win for the film, isn't it? ]"
435,"[Before watching the film, the most interesting pull factor about Kashala Udyachi Baat for me was that this was Anupam Kher's first ever Marathi film. Perhaps one of the most under-utilized actors of our times (partly due to his own doing), the fact that he was said to have dubbed for the film himself was an added bonus. However, Kashala Udyachi Baat, in spite of having an interesting concept at its core, is an unfulfilling effort, primarily because in an effort to get its message across, the film takes to sermonizing.Aditya Pradhan, played by Sachin Khedekar, is an ambitious, career-obsessed IT professional who has no time for those who should matter most in life. For him, they are a cursory duty that he needs to fulfill on his journey to professional success. Fed up with him when he misses an important event in his daughter's life, his wife, played by Mrinal Kulkarni, packs her bags and leaves for home with her daughter. Groundhog Day then takes over for a while as Aditya Pradhan is stuck in a time loop - he wakes up every day to the same day, a Sunday - a means for him to savour the finer nuances of life. In comes a mysterious blind stranger, who acts like a beacon for him in his state of the eternal Sunday.Directed by Pramod Joshi, Kashala Udyachi Baat does have its moments, something that goes without saying. A time loop concept will always be interesting, because there is always a magnetic charm to the idea of non-linearity in life. However, when the time loop is over-done, the concept can begin to grate, much like the cacophony of his neighbours that Aditya Pradhan has to wake up to every Sunday. Adding insult to the injury caused by the draggy screenplay is an item number that really finds no place in this film.Sachin Khedekar is a talented actor, of that there is no doubt. In fact, one can often see why he was chosen to play this part. He is a natural when it comes to showing the exasperation that an ordinary man can feel with his life. However, he is one of those actors who continuously needs to be reined in, because over-the-top comes as naturally to him as subtle does. Mrinal Kulkarni is another actor who I am extremely fond of simply because of the presence that she exudes. Though she doesn't get much to do in this film, her appearance is always a joy. Anupam Kher does a fairly decent job, even with his Marathi, although it did seem a little stilted. I also often got the feeling that it wasn't his voice at all, although that could be just my imagination. What is good to see is that actors like him and Naseeruddin Shah (in Deool) are featuring in Marathi films. Hopefully, this will provide the much-needed fillip to an industry that deserves it.Apart from the said item number, Kashala Udyachi Baat feels like an honest effort. What happens invariably though, is that the film veers towards being preachy and moralizing. Yes, there is more to life than work and success. But hammering it on the audience's head might not entirely get the message across. The film looks and feels right, but mediocre writing will always sink a film, no matter what. The film is a half-decent effort, but a sharper, more insightful screenplay would have made it truly worth a watch. As it stands though, the film is really just something you could switch to on TV if the other options are re-telecasts of Golmaal or Ghajini.]"
436,"['Mi anandasathi kahich karat nahin, anandani karto' (I don't do things for happiness, I do them happily) proclaims Dilip Prabhavalkar, who plays an eccentric scientist who conducts experiments for social good in his homegrown lab - experiments that often go BOOM! This line, and indeed Dilip Prabhavalkar's character, is one of the many quirky aspects of Masala, produced by Umesh Kulkarni and Girish Kulkarni, the men behind Deool.Directed by debutante Sandesh Kulkarni, Masala is another feather in the cap of National Award winner Girish Kulkarni, one of the finds of Indian cinema in recent times. If Deool was though-provoking in an obvious manner, Masala takes a slightly different route to make you think - it makes you smile. Girish Kulkarni and Amruta Subhash play a young married couple who are constantly on the run from creditors. Their life is just a cycle wherein they go to a new place, set up shop, end up owing money to people because they themselves are owed money and ultimately end up sneaking away to a new place in the midst of the night. Along the way, they face situations and meet characters that are like milestones in their quest for a state of equilibrium. While every character in Masala makes you smile, a closer inspection will reveal that they stand for so much more than what they appear to be on the surface - Dilip Prabhavalkar's mad scientist for example - an analogy can be drawn between his life and the life of our protagonist couple.  While Girish Kulkarni's performance undoubtedly needs to be lauded, it is his writing that is the real star of Masala. With crackling, insightful dialogue and a screenplay that makes the film a true journey for the characters as well as the audience, Girish Kulkarni once again proves the old adage - content is ultimately king. Amruta Subhash also delivers an earnest performance as his wife. She is charming and sincere and you truly feel for her character of a woman who stands by her husband like a rock. Of course, watching actors like Dr. Mohan Agashe and Dilip Prabhavalkar is always a joy. Their characters are like mirrors for the protagonist. It is through them that his journey seems to acquire meaning. Dr. Shreeram Lagoo's name on the poster of the film excited me, and his brief appearance was heart-warming as always, even though I least expected him to appear as the character he played in the film. Another place where the film exceeded my expectations was its technique. Masala is visually appealing in terms of its cinematography, even though one can easily tell which shots were taken with a DSLR. Also, a special mention must be made of the background score. It seemed to hit just the right note when the situation demanded it, complimenting the character's state of mind well. I did have some reservations about the manner in which the film was edited, but they were more on the creative side rather than the technical. I would perhaps have structured the film slightly differently, but I'd have to watch the film again to be sure. In fact, Masala is one of the only Marathi films I've seen lately which I feel like watching twice, only because something tells me that in all of the humour and charm, I may have missed out on something that lay far deeper. I only hope that as many people as possible watch this film at least once, if only to spend some time in their life smiling a real smile. ]"
437,"[Mirror Mirror isn't a revisit to the age-old fairy-tale of Snow White and the Seven Dwarves, nor is it a satire. The first thing you'll notice while watching the film is how it's a celebration of the fairy-tale with a concrete contemporary flavour. Fairy-tales are meant to have a universal moral that is passed on for generations, and Mirror Mirror manages to hold that moral and still give the film an interestingly relatable treatment. Julia Roberts plays the evil queen, and by the look of it, rather enjoys her sinister position of authority. We are told the story through her perspective; you instantly figure out this version of Snow White is going to be entertaining. She plays a vain, insecure queen who locks up an 18 year old Snow White in order to maintain her position. The King is dead, and Snow White (played by Lily Collins) is the rightful ruler of the land, but the Queen is willing to do anything to keep her away. Snow White is no tormented damsel in distress though. She escapes the palace to realize the kingdom is in ruins, where the villagers who once used to sing and dance, are now broke and starving. The fun (or what you would call conflict) begins when Snow White meets the Prince Alcott (Armie Hammer of the Social Network fame) and later we realize the Queen wants to marry him for his money. The interactions between the Queen and the Prince are charming, as you see Roberts behave like a drooling cougar, pouncing on ever opportunity to flirt with him. White, on the other hand, encounters the 7 dwarves in the Forest and together they plot to free the land from the Evil Queen's hold. Mirror Mirror's strongest point is its elaborate sets and costumes. Colorful landscapes, beefed up gowns and frilly collars give the film a grand and dramatic feel - you feel like every character has come alive from a vibrant children's story book.  However, Lily Collins and Hammer are rather forgettable in their characters, and their love seems hurried and sugar-coated.The strongest performance (with no surprises) is Julia Roberts'. Even so, the ""true love"" between Snow White and the Prince isn't established enough, and Roberts' could have easily been a tad bit more evil and sassy. The effort to make the film more clever and enjoyable seems laborious and borders on predictable. The film revels in its ability to subvert tradition - in a brilliant scene as a parody to artificial beauty, the queen gets her lip stung by a bee to enhance it. The idea is not to portray that the women were born beautiful but that even Queens and Princesses from fairy-tales need to touch up. The film isn't laden with preachy deductions but allows you to enjoy a contemporary re-telling - Snow White learns to use a sword in order to fight her own battle, the dwarves aren't Robin-Hood thieves but actual bandits and the prince is most certainly not a Knight in shining armor. Mirror Mirror is an entertaining weekend watch and something the children will love especially if they are aware of the original fairy-tale. It could have been a shorter, crisper film with memorable dialogues (like a play on stereotypical things that characters from fairy-tales say) but the film has a bunch of moments to keep you engaged. ]"
